SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
CAPLIPOINT,EQ,1340.05,1341,1297.65,1314.95,1316.7,1341.3,25278,33349234,18-MAY-2024,2381,INE475E01026,
CAPTRUST,EQ,125.25,125.25,122.2,123.95,123.5,125.85,1662,206196.35,18-MAY-2024,82,INE707C01018,
CARBORUNIV,EQ,1738,1800,1729,1755.7,1748.2,1731.05,38091,67625558.55,18-MAY-2024,3429,INE120A01034,
CAREERP,EQ,411.1,429.9,411.1,422.85,422.1,409.45,21906,9330551.8,18-MAY-2024,441,INE521J01018,
CARERATING,EQ,1098,1131.15,1085.1,1106.1,1105.95,1090.1,17947,19995628.15,18-MAY-2024,1065,INE752H01013,
CARTRADE,EQ,918,921.15,897.6,901,900.5,918.4,32201,29218541.7,18-MAY-2024,2487,INE290S01011,
CARYSIL,EQ,938,960,919.95,937.25,942,941.95,9881,9278352.7,18-MAY-2024,962,INE482D01024,
CASTROLIND,EQ,194.2,196,193.7,195.05,194.7,193.7,509534,99348524.95,18-MAY-2024,5520,INE172A01027,
CBAZAAR,SM,18.55,19.15,18.5,19.15,19.15,18.7,24000,449600,18-MAY-2024,3,INE518X01015,
CCHHL,EQ,15.8,15.8,15.35,15.65,15.65,15.6,49512,776302.05,18-MAY-2024,166,INE652F01027,
CCL,EQ,569.2,573.25,565.05,568.5,568.8,567.2,12008,6837351.3,18-MAY-2024,743,INE421D01022,
CDSL,EQ,2111,2124.7,2108,2114.15,2114,2115.4,142718,302139977.15,18-MAY-2024,6884,INE736A01011,
CEATLTD,EQ,2400,2466,2400,2439.8,2430.55,2392.45,44531,108665189.8,18-MAY-2024,4899,INE482A01020,
CELEBRITY,EQ,20.25,20.45,19.95,20.2,20.25,20.1,53387,1075826.95,18-MAY-2024,291,INE185H01016,
CELLECOR,SM,260,264.85,250.8,252.4,253,257.7,15600,4007700,18-MAY-2024,26,INE0OMO01017,
CELLO,EQ,945,949.8,940.1,942.2,942.95,942.9,9405,8891609.5,18-MAY-2024,551,INE0LMW01024,
CELLPOINT,SM,39.5,39.65,37.75,37.75,37.75,37.8,9600,370980,18-MAY-2024,8,INE0O0001013,
CENTENKA,EQ,610,622,600,605.55,602,604.15,29274,17946275.4,18-MAY-2024,1226,INE485A01015,
CENTEXT,BE,18.5,19.4,18.05,19.4,19.4,18.5,41436,794781.15,18-MAY-2024,203,INE281A01026,
CENTRALBK,EQ,61.4,62.4,60.9,62.15,62.25,61.05,1914657,118516164.05,18-MAY-2024,6010,INE483A01010,
CENTRUM,EQ,43.5,43.8,43,43.8,43.8,41.75,843155,36867608.05,18-MAY-2024,916,INE660C01027,
CENTUM,EQ,1896,1922.75,1864.25,1907.75,1911.95,1896.7,4101,7807821.95,18-MAY-2024,538,INE320B01020,
CENTURYPLY,EQ,682.95,685,673.4,677.35,678,678.8,14700,9977993.3,18-MAY-2024,1439,INE348B01021,
CENTURYTEX,EQ,2180,2198,2170,2178.35,2175,2165.25,27540,60218757.95,18-MAY-2024,2369,INE055A01016,
CERA,EQ,7142.7,7199.9,7142.7,7193.45,7181,7142.7,854,6138220.9,18-MAY-2024,263,INE739E01017,
CEREBRAINT,BE,7.15,7.3,7,7.05,7.15,7.05,13001,92128.75,18-MAY-2024,93,INE345B01019,
CESC,EQ,148.35,149.35,147,147.3,147.3,147.15,564576,83476133.85,18-MAY-2024,4402,INE486A01021,
CGCL,EQ,223.05,231.05,223.05,226.5,225.3,223,73221,16729811.85,18-MAY-2024,2889,INE180C01042,
CGPOWER,EQ,660,667.85,658.05,663.35,663,654.55,457006,303189592.1,18-MAY-2024,11480,INE067A01029,
CGRAPHICS,SM,251,255.95,245,253.3,254.9,247.3,80000,20052160,18-MAY-2024,48,INE0R7401011,
CHALET,EQ,791,802.35,786,798.45,791.95,785.15,21250,16940293.5,18-MAY-2024,1477,INE427F01016,
CHAMBLFERT,EQ,404.95,407,388.8,400.75,401,404.95,152086,61050653.4,18-MAY-2024,3332,INE085A01013,
CHAVDA,SM,138.05,138.05,135,135.9,137.05,137.45,25000,3408150,18-MAY-2024,24,INE0PT101017,
CHEMBOND,EQ,596,598,580.05,588.45,592,588.35,3331,1956228.55,18-MAY-2024,311,INE995D01025,
CHEMCON,EQ,256.95,261,256.3,259.95,259.75,256.35,17273,4478764.3,18-MAY-2024,561,INE03YM01018,
CHEMFAB,EQ,603.7,620,601.25,615,616,603.7,1423,870935.5,18-MAY-2024,92,INE783X01023,
CHEMPLASTS,EQ,488,496,486.5,492.2,495,490.8,13921,6843647.4,18-MAY-2024,863,INE488A01050,
CHENNPETRO,EQ,884,900,879.65,897.95,897.7,876.35,134888,120457011,18-MAY-2024,4377,INE178A01016,
